#,Company,Symbol,Weight,Price,Change,,,,,,,,,,,,,,,,,#
149,Kinder Morgan Inc Class P,KMI,0.159818,20.85,0.00 (0.00%),,,,,,,,,,,,,,,,,
150,BB&T Corporation,BBT,0.15734,51.65,0.00 (0.00%),,,,,,,,,,,,,,,,,
151,Ross Stores Inc.,ROST,0.156723,106.83,0.00 (0.00%),,,,,,,,,,,,,,,,,
152,Travelers Companies Inc.,TRV,0.156492,148.81,-1.12 (-0.75%),,,,,,,,,,,,,,,,,
153,Marriott International Inc. Class A,MAR,0.155918,140.27,0.00 (0.00%),,,,,,,,,,,,,,,,,
154,Roper Technologies Inc.,ROP,0.154424,366.2,0.00 (0.00%),,,,,,,,,,,,,,,,,
155,Sempra Energy,SRE,0.153533,140.26,0.00 (0.00%),,,,,,,,,,,,,,,,,
156,Occidental Petroleum Corporation,OXY,0.15287,51.58,-0.01 (-0.02%),,,,,,,,,,,,,,,,,
157,Dow Inc.,DOW,0.152054,49.27,0.16 (0.33%),,,,,,,,,,,,,,,,,
158,Marathon Petroleum Corporation,MPC,0.151706,56.84,0.00 (0.00%),,,,,,,,,,,,,,,,,
159,Fiserv Inc.,FISV,0.151573,102.48,0.18 (0.18%),,,,,,,,,,,,,,,,,
160,Cognizant Technology Solutions Corporation Class A,CTSH,0.151039,66.4,0.00 (0.00%),,,,,,,,,,,,,,,,,
161,HCA Healthcare Inc,HCA,0.151021,145.3,0.24 (0.17%),,,,,,,,,,,,,,,,,
162,Ford Motor Company,F,0.150183,9.56,-0.01 (-0.10%),,,,,,,,,,,,,,,,,
163,Autodesk Inc.,ADSK,0.149607,167.97,-0.02 (-0.01%),,,,,,,,,,,,,,,,,
164,Humana Inc.,HUM,0.149075,276.87,0.00 (0.00%),,,,,,,,,,,,,,,,,
165,Delta Air Lines Inc.,DAL,0.148612,62.13,-0.03 (-0.05%),,,,,,,,,,,,,,,,,
166,Anadarko Petroleum Corporation,APC,0.148587,73.62,0.00 (0.00%),,,,,,,,,,,,,,,,,
167,Activision Blizzard Inc.,ATVI,0.144915,48.09,0.10 (0.21%),,,,,,,,,,,,,,,,,
168,Public Storage,PSA,0.144898,239.43,0.00 (0.00%),,,,,,,,,,,,,,,,,
169,Dollar General Corporation,DG,0.1426,136.35,-1.62 (-1.17%),,,,,,,,,,,,,,,,,
170,Valero Energy Corporation,VLO,0.140474,84,-0.31 (-0.37%),,,,,,,,,,,,,,,,,
171,Eaton Corp. Plc,ETN,0.139872,81.57,0.00 (0.00%),,,,,,,,,,,,,,,,,
172,Yum! Brands Inc.,YUM,0.137953,114.02,0.00 (0.00%),,,,,,,,,,,,,,,,,
