Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,NTRS,0,0,0,0,21690000000.0,30920000000.0,15.07,14.01,-16.6,3.64,2.16,5.18,,25.5,32.29,1.16,14.37,5970000000.0,27.2,0.6,5950000000.0,,1460000000.0,6.61,-0.3,3630000000.0,16.88,12250000000.0,,,46.18,,,1.17,90.3,91.66,1220000.0,218500000.0,211970000.0,0.6,80.7,3410000.0,2.51,1.7,2780000.0
0,0,NU,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NUE,0,0,0,0,17030000000.000002,20240000000.0,7.91,11.87,-2.9,0.68,1.65,0.81,5.13,8.84,12.43,10.93,22.81,25030000000.0,80.9,-8.7,4300000000.0,3940000000.0,2200000000.0,7.1,-43.4,1480000000.0,4.89,4290000000.0,40.14,3.56,33.98,2710000000.0,1050000000.0,1.66,54.37,56.7,2450000.0,304790000.0,301620000.0,0.53,80.6,6540000.0,2.61,2.39,6590000.0
0,0,NUS,0,0,0,0,2270000000.0,2470000000.0,17.87,11.42,1.31,0.84,2.8,0.92,6.0,4.81,12.23,11.63,16.06,2690000000.0,48.38,1.2,2049999999.9999998,412110000.0,129350000.0,2.29,21.0,318330000.0,5.74,521230000.0,64.25,1.86,14.59,195660000.0,149430000.0,0.78,46.06,53.77,55490000.0,55490000.0,52940000.0,2.69,77.68,2000000.0,4.25,4.79,1640000.0
0,0,NVDA,0,0,0,0,106620000000.0,101370000000.0,33.04,24.59,3.09,9.94,10.99,9.45,32.05,30.67,26.72,14.06,37.78,10730000000.0,17.64,-30.8,7170000000.0,3160000000.0,3290000000.0,5.3,-68.3,7800000000.0,12.81,2550000000.0,26.32,8.98,15.93,3020000000.0,1380000000.0,2.52,160.67,162.35,11020000.0,609000000.0,584510000.0,4.26,72.76,11870000.0,1.14,2.05,12630000.0
0,0,NWL,0,0,0,0,6010000000.0,13630000000.0,,9.66,-0.58,0.7,1.21,1.6,14.18,-83.48,7.16,1.48,-71.09,8529999999.999999,18.63,-5.5,3010000000.0,961400000.0,-6810000000.0,-15.55,,364100000.0,0.86,7950000000.0,159.61,2.12,11.7,881300000.0,515220000.0,1.09,14.83,16.3,4930000.0,423100000.0,420350000.0,0.76,100.69,36410000.0,9.47,8.66,37280000.0
0,0,NWSA,0,0,0,0,7920000000.0,8910000000.0,,31.98,2.63,0.77,0.85,0.87,7.91,-1.6,6.14,2.68,-0.83,10300000000.0,17.63,17.4,4120000000.0,1130000000.0,-166000000.0,-0.29,,1700000000.0,2.9,1580000000.0,15.11,1.15,15.88,953000000.0,476500000.0,1.19,13.1,12.56,3130000.0,385530000.0,503160000.0,0.59,97.07,9820000.0,2.74,2.57,9010000.0
0,0,NYX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,OI,0,0,0,0,2750000000.0,8650000000.0,11.75,5.58,0.58,0.41,3.09,1.28,8.14,3.51,9.44,3.91,14.09,6780000000.0,42.91,-5.6,1290000000.0,1060000000.0,125000000.0,1.51,-19.4,326000000.0,2.1,6110000000.0,604.95,1.39,5.72,566000000.0,176880000.0,1.35,17.11,18.44,1080000.0,155230000.0,153960000.0,0.7,95.59,7110000.0,6.04,4.61,7680000.0
0,0,OKE,0,0,0,0,28270000000.0,38750000000.0,23.22,18.56,1.65,2.3,4.39,3.16,16.75,9.98,15.28,6.63,18.42,12270000000.0,29.76,-10.4,3170000000.0,2310000000.0,1220000000.0,2.95,27.5,27810000.0,0.07,10510000000.0,163.09,0.8,15.61,2049999999.9999998,-1260000000.0,1.08,68.23,66.94,1900000.0,412760000.0,410000000.0,0.67,77.65,12210000.0,6.41,3.78,12270000.0
